Date_Time;Store;Product;Quantity;Unit_Price;Unit_Cost;Unit_Profit;Total_Price
01/10/2022 08:35;store6;p31;5;222.95;137.75;85.19;1114.73
01/10/2022 08:53;store6;p39;4;163.85;106.11;57.74;655.41
01/10/2022 08:48;store6;p31;4;222.95;137.75;85.19;891.79
01/10/2022 08:39;store6;p3;8;269.33;105.20;164.13;2154.60
01/10/2022 08:00;store6;p26;8;74.17;25.89;48.28;593.37
01/10/2022 08:55;store6;p44;2;158.44;72.40;86.04;316.88
01/10/2022 08:10;store6;p8;9;478.84;320.48;158.37;4309.57
01/10/2022 08:13;store6;p18;2;476.74;211.84;264.90;953.48
01/10/2022 08:50;store6;p41;9;28.20;20.49;7.72;253.84
01/10/2022 08:44;store6;p29;7;238.17;109.49;128.68;1667.20
01/10/2022 08:02;store6;p29;5;238.17;109.49;128.68;1190.85
01/10/2022 08:27;store6;p2;7;414.34;211.85;202.49;2900.36
01/10/2022 08:17;store6;p2;4;414.34;211.85;202.49;1657.35
01/10/2022 08:52;store6;p42;1;227.21;137.97;89.25;227.21
01/10/2022 08:51;store6;p19;1;219.53;101.11;118.43;219.53
01/10/2022 08:40;store6;p49;4;130.63;44.82;85.81;522.53
01/10/2022 08:26;store6;p11;9;328.13;112.63;215.50;2953.18
01/10/2022 08:32;store6;p31;7;222.95;137.75;85.19;1560.63
01/10/2022 08:46;store6;p23;9;271.24;103.13;168.11;2441.13
01/10/2022 08:19;store6;p3;1;269.33;105.20;164.13;269.33
01/10/2022 08:49;store6;p11;1;328.13;112.63;215.50;328.13
01/10/2022 08:34;store6;p44;6;158.44;72.40;86.04;950.64
01/10/2022 08:02;store6;p9;1;89.05;42.28;46.77;89.05
01/10/2022 08:28;store6;p38;2;299.96;155.56;144.40;599.92
01/10/2022 08:31;store6;p18;3;476.74;211.84;264.90;1430.22
01/10/2022 08:37;store6;p21;8;457.76;185.00;272.76;3662.11
01/10/2022 08:27;store6;p5;2;114.85;40.65;74.19;229.69
01/10/2022 08:15;store6;p8;6;478.84;320.48;158.37;2873.05
01/10/2022 08:30;store6;p6;4;183.24;68.39;114.85;732.96
01/10/2022 08:21;store6;p11;7;328.13;112.63;215.50;2296.92
01/10/2022 08:42;store6;p11;1;328.13;112.63;215.50;328.13
01/10/2022 08:56;store6;p19;7;219.53;101.11;118.43;1536.74
01/10/2022 08:25;store6;p35;2;470.54;346.16;124.38;941.09
01/10/2022 08:32;store6;p23;5;271.24;103.13;168.11;1356.18
01/10/2022 08:41;store6;p22;5;328.86;164.07;164.78;1644.28
01/10/2022 08:41;store6;p27;3;187.69;63.16;124.53;563.08
01/10/2022 08:12;store6;p27;7;187.69;63.16;124.53;1313.86
01/10/2022 08:16;store6;p22;8;328.86;164.07;164.78;2630.85
01/10/2022 08:06;store6;p2;9;414.34;211.85;202.49;3729.03
01/10/2022 08:53;store6;p38;9;299.96;155.56;144.40;2699.65
01/10/2022 08:16;store6;p9;5;89.05;42.28;46.77;445.24
01/10/2022 08:31;store6;p6;7;183.24;68.39;114.85;1282.69
01/10/2022 08:45;store6;p46;6;116.80;51.52;65.28;700.81
01/10/2022 08:35;store6;p38;5;299.96;155.56;144.40;1499.80
01/10/2022 08:34;store6;p22;7;328.86;164.07;164.78;2301.99
01/10/2022 08:01;store6;p32;4;38.32;15.21;23.10;153.27
01/10/2022 08:09;store6;p49;3;130.63;44.82;85.81;391.90
01/10/2022 08:56;store6;p31;3;222.95;137.75;85.19;668.84
01/10/2022 08:12;store6;p25;2;168.06;104.11;63.95;336.12
01/10/2022 08:46;store6;p5;9;114.85;40.65;74.19;1033.61
01/10/2022 08:58;store6;p43;8;201.99;121.93;80.06;1615.93
01/10/2022 08:38;store6;p37;7;181.43;117.00;64.43;1270.04
01/10/2022 08:33;store6;p19;5;219.53;101.11;118.43;1097.67
01/10/2022 08:10;store6;p29;7;238.17;109.49;128.68;1667.20
01/10/2022 08:40;store6;p35;3;470.54;346.16;124.38;1411.63
01/10/2022 08:02;store6;p30;8;199.67;81.62;118.05;1597.36
01/10/2022 08:32;store6;p44;1;158.44;72.40;86.04;158.44
01/10/2022 08:15;store6;p22;4;328.86;164.07;164.78;1315.42
01/10/2022 08:39;store6;p22;3;328.86;164.07;164.78;986.57
01/10/2022 08:57;store6;p10;3;227.62;79.60;148.02;682.87
01/10/2022 08:00;store6;p36;1;248.18;139.33;108.85;248.18
01/10/2022 08:33;store6;p23;8;271.24;103.13;168.11;2169.89
01/10/2022 08:11;store6;p34;7;444.85;293.93;150.92;3113.97
01/10/2022 08:10;store6;p45;9;204.54;71.15;133.39;1840.86
01/10/2022 08:49;store6;p40;7;11.55;8.53;3.03;80.88
01/10/2022 08:26;store6;p25;9;168.06;104.11;63.95;1512.56
01/10/2022 08:20;store6;p39;2;163.85;106.11;57.74;327.71
01/10/2022 08:34;store6;p17;6;189.09;143.92;45.16;1134.52
01/10/2022 08:53;store6;p23;8;271.24;103.13;168.11;2169.89
01/10/2022 08:00;store6;p39;5;163.85;106.11;57.74;819.27
01/10/2022 08:23;store6;p37;2;181.43;117.00;64.43;362.87
01/10/2022 08:20;store6;p6;6;183.24;68.39;114.85;1099.45
01/10/2022 08:51;store6;p10;9;227.62;79.60;148.02;2048.61
01/10/2022 08:52;store6;p4;2;24.21;9.24;14.96;48.41
01/10/2022 08:45;store6;p0;6;327.01;201.20;125.82;1962.08
01/10/2022 08:52;store6;p5;7;114.85;40.65;74.19;803.92
01/10/2022 08:19;store6;p36;4;248.18;139.33;108.85;992.72
